"Story","Title","Result","Date","Stability","Duration (s)"
"Permission 005  reports  details  business  user  see  data  restricted  by  filter","Create  report  name  field  empty","SUCCESS","2017-06-02T12:53:54.236+07:00","0.0","27.66"
"Create report 001  create  report  name  field  empty","Create report 001  create  report  name  field  empty","SUCCESS","2017-06-02T12:45:04.750+07:00","0.0","19.42"
"Create report 002  create  new  report","Create report 002  create  new  report","SUCCESS","2017-06-02T12:45:24.284+07:00","0.0","46.23"
"Create report 016  verify  run  and  preview","Create report 016  verify  run  and  preview","SUCCESS","2017-06-02T12:46:10.624+07:00","0.0","22.62"
"Create report 019 1  query  template  verify  user  can  insert  query  template","Create report 019  query  template  verify  that  user  can  use  query  template  for  report","SUCCESS","2017-06-02T12:46:33.380+07:00","0.0","35.63"
"Create report 019  query  template  verify  that  user  can  use  query  template  for  report","Create report 019  query  template  verify  that  user  can  use  query  template  for  report","SUCCESS","2017-06-02T12:47:09.143+07:00","0.0","28.24"
"Create report 032  data  settings  aggregations  show  total  row","Create report 019  query  template  verify  that  user  can  use  query  template  for  report","SUCCESS","2017-06-02T12:47:37.503+07:00","0.0","36.76"
"Create report 038  data  settings  do  not  load  data  automatically","Create report 019  query  template  verify  that  user  can  use  query  template  for  report","SUCCESS","2017-06-02T12:48:38.772+07:00","0.0","29.28"
"Create report 034  quick transforms  verify  that  quick  pivot  works  correctly","Create report 034  quick transforms  verify  that  quick  pivot  works  correctly","SUCCESS","2017-06-02T12:48:14.377+07:00","0.0","24.29"
"Create report 107  pie  chart  verify  xaxis  and  yaxis  work  correctly","Create report 107  pie  chart  verify  xaxis  and  yaxis  work  correctly","SUCCESS","2017-06-02T12:49:08.186+07:00","0.0","24.27"
"Create report 174  filter type date  set minimum date  human  friendly","Create report 174  filter type date  set minimum date  human  friendly","SUCCESS","2017-06-02T12:49:32.557+07:00","0.0","29.43"
"Create report 203  add  new  adhoc  filter  allow  multiple  selection","Create report 203  add  new  adhoc  filter  allow  multiple  selection","SUCCESS","2017-06-02T12:50:02.084+07:00","0.0","28.8"
"Create report 250  add shared filter  user  can  add  shared  filter","Create report 250  add shared filter  user  can  add  shared  filter","SUCCESS","2017-06-02T12:50:30.997+07:00","0.0","16.96"
"Dashboard 018  report  can  be  added  to  dashboard  successfully","Dashboard 018  report  can  be  added  to  dashboard  successfully","SUCCESS","2017-06-02T12:50:48.038+07:00","0.0","21.82"
"Dashboard 029  delete  dashdoard","Dashboard 018  report  can  be  added  to  dashboard  successfully","SUCCESS","2017-06-02T12:51:50.603+07:00","0.0","19.45"
"Dashboard 023  metric  can  be  added  to  dashboard  successfully","Dashboard 023  metric  can  be  added  to  dashboard  successfully","SUCCESS","2017-06-02T12:51:09.960+07:00","0.0","19.57"
"Dashboard 028  text  can  be  added  to  dashboard  successfully","Dashboard 028  text  can  be  added  to  dashboard  successfully","SUCCESS","2017-06-02T12:51:29.657+07:00","0.0","20.84"
"New query templates 006  query  template  is  created  when  all  fields  contain  values","Dashboard 028  text  can  be  added  to  dashboard  successfully","SUCCESS","2017-06-02T12:59:42.756+07:00","0.0","15.73"
"New sharedfilter 011  date type  verify  default  value  empty  text","New sharedfilter 011  date type  verify  default  value  empty  text","SUCCESS","2017-06-02T13:00:37.390+07:00","0.0","30.07"
"New sharedfilter 015  date type  allow  empty  value  checked","New sharedfilter 015  date type  allow  empty  value  checked","SUCCESS","2017-06-02T13:02:43.821+07:00","0.0","32.35"
"New sharedfilter 016  date type  set  minimum  date  and  human  friendly  value","New sharedfilter 016  date type  set  minimum  date  and  human  friendly  value","SUCCESS","2017-06-02T13:03:16.281+07:00","0.0","38.84"
"New sharedfilter 017  date type  set  minimum  date  and  from  data  source","New sharedfilter 017  date type  set  minimum  date  and  from  data  source","SUCCESS","2017-06-02T13:03:55.277+07:00","0.0","37.3"
"New sharedfilter 018  date type  set  maximum  date  and  human  friendly  value","New sharedfilter 018  date type  set  maximum  date  and  human  friendly  value","SUCCESS","2017-06-02T13:04:32.671+07:00","0.0","35.94"
"New sharedfilter 019  date type  set  maximum  date  and  from  data  source","New sharedfilter 019  date type  set  maximum  date  and  from  data  source","SUCCESS","2017-06-02T13:05:08.679+07:00","0.0","38.54"
"New sharedfilter 020  date type set permission","New sharedfilter 020  date type set permission","SUCCESS","2017-06-02T13:05:47.353+07:00","0.0","31.33"
"Newsharedfilter 001  verify shared filter page is loaded","Newsharedfilter001  verify shared filter page is loaded","SUCCESS","2017-06-02T13:00:18.590+07:00","0.0","18.72"
"New sharedfilter 012  date type  verify  default  value  contains  value","Newsharedfilter012  verify default value contains value","SUCCESS","2017-06-02T13:01:07.569+07:00","0.0","31.97"
"New sharedfilter 014  date type  verify  enter  help  contains  text","Newsharedfilter014  verify enter help contains text","SUCCESS","2017-06-02T13:01:39.623+07:00","0.0","33.2"
"New sharedfilter 015  allow  empty  value  checked","Newsharedfilter015  allow empty value checked","SUCCESS","2017-06-02T13:02:12.979+07:00","0.0","30.71"
"Permission 001  reports  list  admin  see  all  available  reports","Permission 001  reports  list  admin  see  all  available  reports","SUCCESS","2017-06-02T12:52:10.217+07:00","0.0","15.06"
"Permission 002  reports list  business  user  sees  only  shared  report","Permission 002  reports list  business  user  sees  only  shared  report","SUCCESS","2017-06-02T12:52:25.394+07:00","0.0","30.57"
"Permission 003  reports list  group  sees  only  shared  report","Permission 003  reports list  group  sees  only  shared  report","SUCCESS","2017-06-02T12:52:56.079+07:00","0.0","37.13"
"Permission 004  reports  details  admin  see  all  filters","Permission 004  reports  details  admin  see  all  filters","SUCCESS","2017-06-02T12:53:33.319+07:00","0.0","20.83"
"Permission 006  reports  details  group  see  data  restricted  by  filter","Permission 006  reports  details  group  see  data  restricted  by  filter","SUCCESS","2017-06-02T12:54:21.989+07:00","0.0","29.07"
"Permission 007  input  text  admin  see  search  everything","Permission 007  input  text  admin  see  search  everything","SUCCESS","2017-06-02T12:54:51.172+07:00","0.0","30.8"
"Permission 008  input  text  business  user  see  one  class  only","Permission 008  input  text  business  user  see  one  class  only","SUCCESS","2017-06-02T12:55:22.045+07:00","0.0","23.6"
"Permission 009  input  text  group  see  one  class  only","Permission 009  input  text  group  see  one  class  only","SUCCESS","2017-06-02T12:55:45.738+07:00","0.0","28.14"
"Permission 010  dashboards  details  admin  see  all  available  data","Permission 010  dashboards  details  admin  see  all  available  data","SUCCESS","2017-06-02T12:56:13.972+07:00","0.0","23.92"
"Permission 011  dashboard  details  business  only  sees  shared  data","Permission 011  dashboard  details  business  only  sees  shared  data","SUCCESS","2017-06-02T12:56:37.976+07:00","0.0","27.63"
"Permission 012  dashboards  details  group  only  sees  shared  data","Permission 012  dashboards  details  group  only  sees  shared  data","SUCCESS","2017-06-02T12:57:05.720+07:00","0.0","26.77"
"Permission 013  dashboards  list  admin  see  all  available  dashboards","Permission 013  dashboards  list  admin  see  all  available  dashboards","SUCCESS","2017-06-02T12:57:32.599+07:00","0.0","16.25"
"Permission 014  dashboards  list  business  user  only  sees  shared  dashboards","Permission 014  dashboards  list  business  user  only  sees  shared  dashboards","SUCCESS","2017-06-02T12:57:48.932+07:00","0.0","43.06"
